rank,naa_signed,id,category,source_dataset,word_count,manipulative,credibility,naa_ratio,classification,flagged
1,0.054322,reward_hook-0081,reward_hook,Webis-Clickbait-17,173,1,,1.950112,MOD,1
2,0.03885,reward_hook-0097,reward_hook,Webis-Clickbait-17,186,1,,2.251432,HIGH,1
3,0.036831,high_outrage-0008,high_outrage,SemEval-2019-Task4,165,1,,,UNDEFINED,1
4,0.034323,reward_hook-0074,reward_hook,Webis-Clickbait-17,154,1,,2.302000,HIGH,1
5,0.033885,reward_hook-0039,reward_hook,Webis-Clickbait-17,157,1,,2.876504,HIGH,1
6,0.030939,fear_activating-0079,fear_activating,ISOT-fake,153,1,,2.615169,HIGH,1
7,0.03013,reward_hook-0021,reward_hook,Webis-Clickbait-17,177,1,,18.390795,HIGH,1
8,0.030047,fear_activating-0040,fear_activating,ISOT-fake,180,1,,2.093433,HIGH,1
9,0.028243,fear_activating-0009,fear_activating,ISOT-fake,159,1,,1.784944,MOD,1
10,0.028166,fear_activating-0080,fear_activating,ISOT-fake,161,1,,1.919129,MOD,1
11,0.027707,high_outrage-0010,high_outrage,SemEval-2019-Task4,177,1,,1.798951,MOD,1
12,0.02714,fear_activating-0026,fear_activating,ISOT-fake,164,1,,2.453529,HIGH,1
13,0.02624,fear_activating-0078,fear_activating,ISOT-fake,170,1,,2.830439,HIGH,1
14,0.024666,reward_hook-0095,reward_hook,Webis-Clickbait-17,173,1,,2.713943,HIGH,1
15,0.024506,reward_hook-0000,reward_hook,Webis-Clickbait-17,154,1,,3.065902,HIGH,1
16,0.023571,neutral_informational-0076,neutral_informational,ISOT-true,160,0,,1.824636,MOD,1
17,0.022742,reward_hook-0057,reward_hook,Webis-Clickbait-17,152,1,,1.925418,MOD,1
18,0.022257,fear_activating-0037,fear_activating,ISOT-fake,179,1,,1.930985,MOD,1
19,0.021696,fear_activating-0091,fear_activating,ISOT-fake,156,1,,1.898138,MOD,1
20,0.021204,fear_activating-0024,fear_activating,ISOT-fake,156,1,,2.739253,HIGH,1
21,0.021149,fear_activating-0067,fear_activating,ISOT-fake,189,1,,1.746419,MOD,1
22,0.020874,high_outrage-0034,high_outrage,SemEval-2019-Task4,186,1,,1.433660,MOD,1
23,0.020606,fear_activating-0050,fear_activating,ISOT-fake,160,1,,1.660137,MOD,1
24,0.020248,fear_activating-0003,fear_activating,ISOT-fake,164,1,,2.622774,HIGH,1
25,0.020122,neutral_informational-0004,neutral_informational,ISOT-true,168,0,,7.430376,HIGH,1
26,0.019815,fear_activating-0048,fear_activating,ISOT-fake,151,1,,1.460342,MOD,1
27,0.019703,fear_activating-0047,fear_activating,ISOT-fake,173,1,,3.469159,HIGH,1
28,0.019505,high_outrage-0044,high_outrage,SemEval-2019-Task4,162,1,,2.088894,HIGH,1
29,0.018917,fear_activating-0013,fear_activating,ISOT-fake,170,1,,1.868492,MOD,1
30,0.018854,fear_activating-0093,fear_activating,ISOT-fake,166,1,,1.335674,MOD,1
31,0.018813,fear_activating-0063,fear_activating,ISOT-fake,154,1,,1.579467,MOD,1
32,0.01764,fear_activating-0044,fear_activating,ISOT-fake,197,1,,1.245359,MOD,1
33,0.016961,high_outrage-0007,high_outrage,SemEval-2019-Task4,150,1,,1.573476,MOD,1
34,0.016409,fear_activating-0057,fear_activating,ISOT-fake,164,1,,1.264927,MOD,1
35,0.015927,neutral_informational-0068,neutral_informational,ISOT-true,154,0,,1.329306,MOD,1
36,0.015904,fear_activating-0068,fear_activating,ISOT-fake,160,1,,7.242687,HIGH,1
37,0.015868,neutral_informational-0022,neutral_informational,ISOT-true,192,0,,1.638672,MOD,1
38,0.015086,fear_activating-0081,fear_activating,ISOT-fake,173,1,,1.429721,MOD,1
39,0.014233,fear_activating-0023,fear_activating,ISOT-fake,172,1,,1.416059,MOD,1
40,0.014,fear_activating-0038,fear_activating,ISOT-fake,178,1,,1.416414,MOD,1
41,0.013947,reward_hook-0043,reward_hook,Webis-Clickbait-17,156,1,,1.373950,MOD,1
42,0.013731,fear_activating-0033,fear_activating,ISOT-fake,151,1,,,UNDEFINED,1
43,0.013301,fear_activating-0085,fear_activating,ISOT-fake,169,1,,1.316594,MOD,1
44,0.01245,fear_activating-0041,fear_activating,ISOT-fake,163,1,,1.475191,MOD,1
45,0.012377,fear_activating-0043,fear_activating,ISOT-fake,185,1,,1.572818,MOD,1
46,0.012347,high_outrage-0062,high_outrage,SemEval-2019-Task4,159,1,,1.213027,MOD,1
47,0.012263,reward_hook-0058,reward_hook,Webis-Clickbait-17,156,1,,1.853796,MOD,1
48,0.011926,reward_hook-0004,reward_hook,Webis-Clickbait-17,150,1,,1.500189,MOD,1
49,0.011157,high_outrage-0091,high_outrage,SemEval-2019-Task4,183,1,,1.427184,MOD,1
50,0.010961,reward_hook-0060,reward_hook,Webis-Clickbait-17,153,1,,1.667838,MOD,1
51,0.010896,fear_activating-0086,fear_activating,ISOT-fake,163,1,,1.166877,MOD,1
52,0.009568,high_outrage-0038,high_outrage,SemEval-2019-Task4,160,1,,1.142807,MOD,1
53,0.009544,fear_activating-0058,fear_activating,ISOT-fake,161,1,,1.174187,MOD,1
54,0.00954,fear_activating-0020,fear_activating,ISOT-fake,157,1,,,UNDEFINED,1
55,0.009366,fear_activating-0002,fear_activating,ISOT-fake,158,1,,2.855761,HIGH,1
56,0.009248,high_outrage-0050,high_outrage,SemEval-2019-Task4,150,1,,2.179771,HIGH,1
57,0.009168,reward_hook-0023,reward_hook,Webis-Clickbait-17,154,1,,,UNDEFINED,1
58,0.009068,reward_hook-0090,reward_hook,Webis-Clickbait-17,160,1,,1.168141,MOD,1
59,0.00897,fear_activating-0052,fear_activating,ISOT-fake,193,1,,1.283731,MOD,1
60,0.008918,high_outrage-0068,high_outrage,SemEval-2019-Task4,161,1,,1.185120,MOD,1
61,0.008839,neutral_informational-0057,neutral_informational,PubMed,152,0,1.0,1.115174,MOD,1
62,0.008822,high_outrage-0035,high_outrage,SemEval-2019-Task4,168,1,,1.192477,MOD,1
63,0.008628,fear_activating-0000,fear_activating,ISOT-fake,153,1,,1.093931,MOD,1
64,0.008555,fear_activating-0022,fear_activating,ISOT-fake,171,1,,1.162151,MOD,1
65,0.008554,fear_activating-0027,fear_activating,ISOT-fake,152,1,,3.045456,HIGH,1
66,0.008377,fear_activating-0092,fear_activating,ISOT-fake,154,1,,1.217177,MOD,1
67,0.00825,reward_hook-0002,reward_hook,Webis-Clickbait-17,157,1,,1.121196,MOD,1
68,0.008206,high_outrage-0017,high_outrage,SemEval-2019-Task4,166,1,,1.102523,MOD,1
69,0.00801,fear_activating-0098,fear_activating,ISOT-fake,163,1,,,UNDEFINED,1
70,0.007126,fear_activating-0054,fear_activating,ISOT-fake,158,1,,1.122147,MOD,1
71,0.006901,reward_hook-0096,reward_hook,Webis-Clickbait-17,184,1,,1.105693,MOD,1
72,0.006859,fear_activating-0031,fear_activating,ISOT-fake,171,1,,1.121445,MOD,1
73,0.006785,high_outrage-0015,high_outrage,SemEval-2019-Task4,158,1,,1.507268,MOD,1
74,0.006371,high_outrage-0027,high_outrage,SemEval-2019-Task4,156,1,,1.091539,MOD,1
75,0.006131,neutral_informational-0075,neutral_informational,PubMed,168,0,1.0,1.163167,MOD,1
76,0.005873,neutral_informational-0080,neutral_informational,ISOT-true,164,0,,1.085127,MOD,1
77,0.005303,fear_activating-0077,fear_activating,ISOT-fake,159,1,,1.458756,MOD,1
78,0.005297,fear_activating-0025,fear_activating,ISOT-fake,151,1,,1.071140,MOD,1
79,0.004793,neutral_informational-0059,neutral_informational,PubMed,163,0,1.0,1.232087,MOD,1
80,0.004059,high_outrage-0096,high_outrage,SemEval-2019-Task4,150,1,,1.304572,MOD,1
81,0.003992,reward_hook-0094,reward_hook,Webis-Clickbait-17,172,1,,1.099552,MOD,1
82,0.003736,fear_activating-0075,fear_activating,ISOT-fake,198,1,,1.043751,MOD,1
83,0.002833,reward_hook-0041,reward_hook,Webis-Clickbait-17,154,1,,1.041916,MOD,1
84,0.002512,fear_activating-0045,fear_activating,ISOT-fake,153,1,,1.069084,MOD,1
85,0.0023,fear_activating-0030,fear_activating,ISOT-fake,154,1,,,UNDEFINED,1
86,0.002197,fear_activating-0019,fear_activating,ISOT-fake,165,1,,1.065932,MOD,1
87,0.002128,neutral_informational-0081,neutral_informational,PubMed,160,0,1.0,,UNDEFINED,1
88,0.002104,neutral_informational-0006,neutral_informational,ISOT-true,151,0,,1.054548,MOD,1
